GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.entities,User,118,8,0,0,12,2,20,1,20,1
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.entities,Post,56,3,0,0,9,1,16,1,16,1
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.entities,Category,21,8,0,0,4,2,6,1,6,1
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.exceptions,GlobalExceptionHandler,84,3,0,0,19,1,6,1,6,1
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.exceptions,ResourceNotFoundException,58,0,0,0,15,0,8,0,8,0
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.payloads,PostDto,52,0,0,0,9,0,15,0,15,0
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.payloads,ApiResponse,23,0,0,0,4,0,5,0,5,0
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.payloads,CategoryDto,32,0,0,0,6,0,7,0,7,0
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.payloads,UserDto.UserDtoBuilder,23,58,0,0,0,1,2,9,2,9
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.controllers,CategoryController,217,7,2,0,44,2,6,1,5,1
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.controllers,PostController,114,7,10,0,24,2,7,1,2,1
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.controllers,UserController,158,74,4,2,34,16,6,3,3,3
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.services.impl,PostServiceImpl,152,3,0,0,31,1,10,1,10,1
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.services.impl,CategoryServiceImpl,160,3,0,0,32,1,11,1,11,1
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.services.impl,UserServiceImpl,201,3,2,0,41,1,13,1,12,1
SpringBoot-Blog-Application-BackEnd,com.anikdv.blog.app.configurations,ModelMapperConfiguration,0,7,0,0,0,2,0,2,0,2
